### General,,,,,
`CHECKSUM_FUNCTION`,,"Defines checksum address function. 2 available values: `rsk`, `eth`",eth,v2.0.1+,
`RESTRICTED_LIST`,,A comma-separated list of addresses to enable restricted access to them.,(empty),v3.3.3+,
`RESTRICTED_LIST_KEY`,,A key to access addresses listed in`RESTRICTED_LIST` variable. Can be passed via query param to the page's URL: `?key=...`,(empty),v3.3.3+,
`CHAIN_ID`,,"Chain ID of the network. For instance, 100 in the case of xDai chain.",(empty),v3.7.0+,
`JSON_RPC`,,JSON RPC endpoint of the chain for the WalletConnect integration. Implemented in [#4931](https://github.com/blockscout/blockscout/pull/4931),(empty),v4.1.0+,
`HEALTHY_BLOCKS_PERIOD`,,New blocks indexed max delay in /health API endpoint. [Time format](env-variables.md#time-format). Implemented in [#2294](https://github.com/blockscout/blockscout/pull/2294/),5 m,v2.0.2+,
`NEW_TAGS`,,Add public tag labels. More info in [#6316](https://github.com/blockscout/blockscout/pull/6316),(empty),v5.0.0+,
`CUSTOM_CONTRACT_ADDRESSES_${tag_name}`,,Specify addresses for some label. More info in [#6316](https://github.com/blockscout/blockscout/pull/6316),(empty),v5.0.0+,
`API_V2_ENABLED`,,Enable API V2. Implemented in [#6361](https://github.com/blockscout/blockscout/pull/6361),(empty),v5.0.0+,
`TOKEN_ID_MIGRATION_FIRST_BLOCK`,,Bottom block for token id migration. Implemented in [#6391](https://github.com/blockscout/blockscout/pull/6391),0,v5.0.0+,
`TOKEN_ID_MIGRATION_CONCURRENCY`,,Number of workers performing the token id migration. Implemented in [#6391](https://github.com/blockscout/blockscout/pull/6391),1,v5.0.0+,
`TOKEN_ID_MIGRATION_BATCH_SIZE`,,Interval of token transfer block numbers processed by a token id migration worker at a time. Implemented in [#6391](https://github.com/blockscout/blockscout/pull/6391),500,v5.0.0+,
`SESSION_COOKIE_DOMAIN`,,Value of this env will be added to domain of session cookie. Implemented in [#6544](https://github.com/blockscout/blockscout/pull/6544),(empty),v5.0.0+,
`DECODE_NOT_A_CONTRACT_CALLS`,,Allows to decode contract calls directed to addresses which are not contracts. Implemented in [#6541](https://github.com/blockscout/blockscout/pull/6541),`false`,v5.1.0+,✅
`EIP_1559_ELASTICITY_MULTIPLIER`,,EIP-1559 elasticity multiplier. Implemented in [#7253](https://github.com/blockscout/blockscout/pull/7253),2,v5.1.3+,
`ETHEREUM_JSONRPC_FALLBACK_HTTP_URL`,,Fallback JSON RPC HTTP url. Implemented in [#7246](https://github.com/blockscout/blockscout/pull/7246),(empty),v5.1.4+,
`ETHEREUM_JSONRPC_FALLBACK_TRACE_URL`,,Fallback JSON RPC trace url. Implemented in [#7246](https://github.com/blockscout/blockscout/pull/7246),(empty),v5.1.4+,
`API_SENSITIVE_ENDPOINTS_KEY`,,API key to protect some sensitive endpoints. Implemented in [#7355](https://github.com/blockscout/blockscout/pull/7355),(empty),v5.1.5+,
### Indexer management,,,,,
Variable,Required,Description,Default,Version,
--------------------------------------------------,--------,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------------,-------,
`BLOCK_TRANSFORMER`,,Transformer for blocks: base or clique.,base,v1.3.4+,
`DISABLE_INDEXER`,,"If `true`, indexer application doesn't run.",`false`,v2.0.3+,
`INDEXER_HIDE_INDEXING_PROGRESS_ALERT`,,"If `true`, indexer progress alert will be disabled even if initial catchup indexing is still in place. Implemented in [#7360](https://github.com/blockscout/blockscout/pull/7360).",`false`,v5.1.5+,
`INDEXER_DISABLE_PENDING_TRANSACTIONS_FETCHER`,,"If `true`, pending transactions fetcher is disabled.",`false`,v4.1.2+,
`INDEXER_DISABLE_INTERNAL_TRANSACTIONS_FETCHER`,,"If `true`, internal transactions fetcher is disabled.",`false`,v4.1.2+,
`INDEXER_DISABLE_BLOCK_REWARD_FETCHER`,,"if `true`, block rewards fetcher is disabled.",`false`,v4.1.3+,
`INDEXER_DISABLE_ADDRESS_COIN_BALANCE_FETCHER`,,"If `true`, coin balances fetcher is disabled.",`false`,v4.1.3+,
`INDEXER_DISABLE_CATALOGED_TOKEN_UPDATER_FETCHER`,,"If `true`, cataloged tokens metadata fetcher is disabled.",`false`,v4.1.3+,
`INDEXER_MEMORY_LIMIT`,,Memory soft limit for the indexer.,1Gb,v4.1.3+,
`INDEXER_EMPTY_BLOCKS_SANITIZER_BATCH_SIZE`,,Batch size for empty block sanitizer (re-fetcher).,100,v4.1.3+,
`INDEXER_CATCHUP_BLOCKS_BATCH_SIZE`,,Batch size for blocks catchup fetcher. Implemented in [#6196](https://github.com/blockscout/blockscout/pull/6196).,10,v5.0.0+,
`INDEXER_CATCHUP_BLOCKS_CONCURRENCY`,,Concurrency for blocks catchup fetcher. Implemented in [#6196](https://github.com/blockscout/blockscout/pull/6196).,10,v5.0.0+,
`INDEXER_DISABLE_EMPTY_BLOCKS_SANITIZER`,,Empty blocks sanitizer is disabled if `true`,false,v5.1.2+,
`DISABLE_REALTIME_INDEXER`,,"If `true`, realtime fetcher doesn't run",`false`,v4.1.6+,
`FIRST_BLOCK`,,"The block number, where import of blocks by catchup fetcher begins from.",0,v1.3.8+,
`LAST_BLOCK`,,"The block number, where import of blocks by catchup fetcher stops.",(empty),v2.0.3+,
`TRACE_FIRST_BLOCK`,,"The block number, where indexing of internal transactions begins from.",0,v4.1.0+,
`TRACE_LAST_BLOCK`,,"The block number, where indexing of internal transactions stops.",(empty),v4.1.0+,
`BLOCK_RANGES`,,Block ranges to import by catchup fetcher. Implemented in [#5783](https://github.com/blockscout/blockscout/pull/5783),,v4.1.7+,
`FETCH_REWARDS_WAY`,,"Tells the application how to calculate block rewards, by fetching via json\_rpc (`trace_block`) or manual by block params (`manual`).",trace\_block,v4.1.4+,
`ETHEREUM_JSONRPC_DEBUG_TRACE_TRANSACTION_TIMEOUT`,,Timeout for `debug_traceTransaction` JSON RPC method request in case of `geth` archive node. Supported time formats: [https://pkg.go.dev/time#ParseDuration](https://pkg.go.dev/time#ParseDuration). Introduced in [#5505](https://github.com/blockscout/blockscout/pull/5505),5s,v4.1.3+,
`ETHEREUM_JSONRPC_DISABLE_ARCHIVE_BALANCES`,,"If `true`, all the requests with the method `eth_getBalance` with any block as parameter but `latest` are ignored. Implemented in [#6001](https://github.com/blockscout/blockscout/pull/6001)",`false`,v5.0.0+,
`ETHEREUM_JSONRPC_PENDING_TRANSACTIONS_TYPE`,,"Defines which method will be used for fetching pending transactions: `default` - default method for fetching internal transactions for current `ETHEREUM_JSONRPC_VARIANT`, `geth` - `txpool_content` method will be used, `parity` - `parity_pendingTransactions` will be used. Implemented in [#6001](https://github.com/blockscout/blockscout/pull/6155)",`default`,v5.0.0+,
`INDEXER_INTERNAL_TRANSACTIONS_BATCH_SIZE`,,Batch size for internal transactions fetcher. Implemented in [#6450](https://github.com/blockscout/blockscout/pull/6450).,10,v5.0.0+,
`INDEXER_INTERNAL_TRANSACTIONS_CONCURRENCY`,,Concurrency for internal transactions fetcher. Implemented in [#6450](https://github.com/blockscout/blockscout/pull/6450).,4,v5.0.0+,
`INDEXER_INTERNAL_TRANSACTIONS_INDEXING_FINISHED_THRESHOLD`,,"In the case when the 1st tx in the chain already has internal transactions, If the number of blocks in pending_block_operations is less than the value in this env var, Blockscout will consider, that indexing of internal transactions finished, otherwise, it will consider, that indexing is still taking place and the indexing banner will appear at the top. Implemented in [#7576](https://github.com/blockscout/blockscout/pull/7576).",1000,v5.2.0+,
`INDEXER_BLOCK_REWARD_BATCH_SIZE`,,Batch size for block reward fetcher. Implemented in [#6952](https://github.com/blockscout/blockscout/pull/6952).,10,v5.1.2+,
`INDEXER_BLOCK_REWARD_CONCURRENCY`,,Concurrency for block reward fetcher. Implemented in [#6952](https://github.com/blockscout/blockscout/pull/6952).,4,v5.1.2+,
`INDEXER_RECEIPTS_BATCH_SIZE`,,Batch size for transaction receipts fetcher. Implemented in [#6454](https://github.com/blockscout/blockscout/pull/6454).,250,v5.0.0+,
`INDEXER_RECEIPTS_CONCURRENCY`,,Concurrency for transaction receipts fetcher. Implemented in [#6454](https://github.com/blockscout/blockscout/pull/6454).,10,v5.0.0+,
`INDEXER_COIN_BALANCES_BATCH_SIZE`,,Batch size for coin balances fetcher. Implemented in [#6454](https://github.com/blockscout/blockscout/pull/6454).,500,v5.0.0+,
`INDEXER_COIN_BALANCES_CONCURRENCY`,,Concurrency for coin balances fetcher. Implemented in [#6454](https://github.com/blockscout/blockscout/pull/6454).,4,v5.0.0+,
`INDEXER_TOKEN_BALANCES_BATCH_SIZE`,,Batch size for token balances fetcher. Implemented in [#7439](https://github.com/blockscout/blockscout/pull/7439).,100,v5.1.5+,
`INDEXER_TX_ACTIONS_ENABLE`,,"If `true`, transaction action indexer is active. Implemented in [#6582](https://github.com/blockscout/blockscout/pull/6582).",false,v5.1.0+,
`INDEXER_TX_ACTIONS_MAX_TOKEN_CACHE_SIZE`,,Maximum number of items in an internal cache of tx actions indexing process (to limit memory consumption). Implemented in [#6582](https://github.com/blockscout/blockscout/pull/6582).,100000,v5.1.0+,
`INDEXER_TX_ACTIONS_REINDEX_FIRST_BLOCK`,,The first block of a block range for historical indexing or reindexing of tx actions. Implemented in [#6582](https://github.com/blockscout/blockscout/pull/6582).,(empty),v5.1.0+,
`INDEXER_TX_ACTIONS_REINDEX_LAST_BLOCK`,,The last block of a block range for historical indexing or reindexing of tx actions. Implemented in [#6582](https://github.com/blockscout/blockscout/pull/6582).,(empty),v5.1.0+,
`INDEXER_TX_ACTIONS_REINDEX_PROTOCOLS`,,"Comma-separated names of protocols which should be indexed or reindexed on historical blocks defined by the range. Example: `uniswap_v3,zkbob` - only these protocols will be indexed or reindexed for the defined block range. If the value is empty string (or not defined), all supported protocols will be indexed/reindexed. This option is not applicable to `realtime` and `catchup` fetchers (it always indexes all supported protocols). Implemented in [#6582](https://github.com/blockscout/blockscout/pull/6582).",(empty),v5.1.0+,
`INDEXER_TX_ACTIONS_AAVE_V3_POOL_CONTRACT`,,"Pool contract address for Aave v3 protocol. If not defined, Aave transaction actions are ignored by the indexer. Implemented in [#7185](https://github.com/blockscout/blockscout/pull/7185).",(empty),v5.1.3+,
`INDEXER_TX_ACTIONS_UNISWAP_V3_FACTORY_CONTRACT`,,UniswapV3Factory contract address. Implemented in [#7312](https://github.com/blockscout/blockscout/pull/7312).,0x1F98431c8aD98523631AE4a59f267346ea31F984,v5.1.4+,
`INDEXER_TX_ACTIONS_UNISWAP_V3_NFT_POSITION_MANAGER_CONTRACT`,,NonfungiblePositionManager contract address for Uniswap v3. Implemented in [#7312](https://github.com/blockscout/blockscout/pull/7312).,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,v5.1.4+,
`INDEXER_CATCHUP_MISSING_RANGES_BATCH_SIZE`,,Batch size for missing ranges collector. Implemented in [#6583](https://github.com/blockscout/blockscout/pull/6583).,100000,v5.0.0+,
`MIN_MISSING_BLOCK_NUMBER_BATCH_SIZE`,,Batch size for min missing block number updater. Implemented in [#6583](https://github.com/blockscout/blockscout/pull/6583).,100000,v5.0.0+,
`INDEXER_INTERNAL_TRANSACTIONS_TRACER_TYPE`,,"Tracer type for `debug_traceTransaction` request for geth-like nodes. Possible values are: `js` to use custom Blockscout js tracer, `call_tracer` to use built-in `callTracer` geth tracer, `opcode` to use built-in `Struct/opcode logger` geth tracer, `polygon_edge` to work with Polygon edge nodes. Implemented in [#6721](https://github.com/blockscout/blockscout/pull/6721), [#7513](https://github.com/blockscout/blockscout/pull/7513)",`call_tracer`,v5.1.0+,
`INDEXER_TOKEN_INSTANCE_RETRY_REFETCH_INTERVAL`,,Interval between attempts to fetch token instance metadata. [Time format](env-variables.md#time-format). Implemented in [#7286](https://github.com/blockscout/blockscout/pull/7286).,`24h`,v5.1.4+,
`INDEXER_TOKEN_INSTANCE_RETRY_CONCURRENCY`,,Concurrency for `retry` token instance fetcher. Implemented in [#7286](https://github.com/blockscout/blockscout/pull/7286).,10,v5.1.4+,
`INDEXER_TOKEN_INSTANCE_REALTIME_CONCURRENCY`,,Concurrency for `realtime` token instance fetcher. Implemented in [#7286](https://github.com/blockscout/blockscout/pull/7286).,10,v5.1.4+,
`INDEXER_TOKEN_INSTANCE_SANITIZE_CONCURRENCY`,,Concurrency for `sanitize` token instance fetcher. Implemented in [#7286](https://github.com/blockscout/blockscout/pull/7286).,10,v5.1.4+,
`INDEXER_DISABLE_TOKEN_INSTANCE_RETRY_FETCHER`,,"If `true`, `retry` token instance fetcher doesn't run",`false`,v5.1.4+,
`INDEXER_DISABLE_TOKEN_INSTANCE_REALTIME_FETCHER`,,"If `true`, `realtime` token instance fetcher doesn't run",`false`,v5.1.4+,
`INDEXER_DISABLE_TOKEN_INSTANCE_SANITIZE_FETCHER`,,"If `true`, `sanitize` token instance fetcher doesn't run",`false`,v5.1.4+,
`INDEXER_REALTIME_FETCHER_MAX_GAP`,,Max gap between consecutive `latest` blocks that will be filled by realtime fetcher. Implemented in [#7393](https://github.com/blockscout/blockscout/pull/7393),1000,v5.1.5+,
`INDEXER_DISABLE_WITHDRAWALS_FETCHER`,,"If `true`, withdrawals fetcher is disabled. Implemented in [#6694](https://github.com/blockscout/blockscout/pull/6694).",`true`,v5.1.5+,
`WITHDRAWALS_FIRST_BLOCK`,,"The block number, where import of withdrawals by catchup fetcher begins from. Should be the block where withdrawals upgrade occurred on the chain. Implemented in [#6694](https://github.com/blockscout/blockscout/pull/6694).",(empty),v5.1.5+,
`INDEXER_CATCHUP_BLOCK_INTERVAL`,,Interval between blocks catchup fetcher tasks. Implemented in [#7489](https://github.com/blockscout/blockscout/pull/7489).,`5s`,v5.1.5+,
`INDEXER_FETCHER_INIT_QUERY_LIMIT`,,Limit for all fetchers init queries. Implemented in [#7697](https://github.com/blockscout/blockscout/pull/7697).,100,v5.2.0+,
### Exchange rates management,,,,,
Variable,Required,Description,Default,Version,
--------------------------------------,--------,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,---------,-------,
`DISABLE_EXCHANGE_RATES`,,Disables or enables fetching of coin price from Coingecko API.,false,v3.1.2+,
`EXCHANGE_RATES_SOURCE`,,This environment variable is used to calculate the exchange rates. Available value is `token_bridge`. Available values are also `coin_gecko` and `coin_market_cap`.,(empty),v4.1.4+,
`EXCHANGE_RATES_MOBULA_COIN_ID`,,Mobula coin ID for token exchange rates.
`EXCHANGE_RATES_MOBULA_API_KEY`,,Mobula API key for token exchange rates.
`EXCHANGE_RATES_MOBULA_CHAIN_ID`,,Mobula chain id full list in [doc](https://docs.mobula.io/blockchains/intro-blockchains).
`EXCHANGE_RATES_COINGECKO_COIN_ID`,,Explicitly set CoinGecko coin ID.,(empty),v4.1.4+,
`EXCHANGE_RATES_COINGECKO_API_KEY`,,CoinGecko API key.,(empty),v4.1.4+,
`EXCHANGE_RATES_COINMARKETCAP_API_KEY`,,CoinMarketCap API key.,(empty),v4.1.4+,
`EXCHANGE_RATES_COINMARKETCAP_COIN_ID`,,CoinMarketCap coin id.,(empty),v5.2.1+,
`EXCHANGE_RATES_FETCH_BTC_VALUE`,,if `true` explorer application will fetch btc\_value for token exchange rates. Implemented in [#5671](https://github.com/blockscout/blockscout/pull/5671).,(empty),v4.1.5+,
`EXCHANGE_RATES_COINGECKO_PLATFORM_ID`,,"[CoinGecko](https://www.coingecko.com/) platform id for which token prices are fetched, see full list in [`/asset_platforms`](https://api.coingecko.com/api/v3/asset_platforms) endpoint. Implemented in [#6925](https://github.com/blockscout/blockscout/pull/6925).",ethereum,v5.1.2+,
`TOKEN_EXCHANGE_RATE_INTERVAL`,,Interval between batch requests of token prices. Can be decreased in order to fetch prices faster if you have pro rate limit. [Time format](env-variables.md#time-format). Implemented in [#6925](https://github.com/blockscout/blockscout/pull/6925).,5s,v5.1.2+,
`TOKEN_EXCHANGE_RATE_REFETCH_INTERVAL`,,"Interval between refetching token prices, responsible for the relevance of prices. [Time format](env-variables.md#time-format). Implemented in [#6925](https://github.com/blockscout/blockscout/pull/6925).",1 hour,v5.1.2+,
`TOKEN_EXCHANGE_RATE_MAX_BATCH_SIZE`,,Batch size of a single token price request. Implemented in [#6925](https://github.com/blockscout/blockscout/pull/6925).,150,v5.1.2+,
`DISABLE_TOKEN_EXCHANGE_RATE`,,If `true` disables fetching of token price. Implemented in [#6925](https://github.com/blockscout/blockscout/pull/6925).,true,v5.1.2+,
### Cache management,,,,,
Variable,Required,Description,Default,Version,Need recompile
-----------------------------------------------------,--------,-,------------------------------------------------------------------------------------------------------------------------------------------------------------,---------------------,-------
`CACHE_TXS_COUNT_PERIOD`,,"Time interval to restart the task, which calculates the total txs count. [Time format](env-variables.md#time-format).",2h,v4.1.3+,
`CACHE_ADDRESS_SUM_PERIOD`,,time to live of addresses sum (except burn address) cache. [Time format](env-variables.md#time-format). Introduced in [#2862](https://github.com/poanetwork/blockscout/pull/2862).,1h,v4.1.3+,
`CACHE_TOTAL_GAS_USAGE_PERIOD`,,"Interval to restart the task, which calculates the total gas usage. [Time format](env-variables.md#time-format).",2h,v4.1.3+,
`CACHE_PBO_COUNT_PERIOD`,,"Time interval to restart the task, which calculates the total pending_block_operations count. [Time format](env-variables.md#time-format).",20m,v5.2.0+,
`CACHE_ADDRESS_TRANSACTIONS_GAS_USAGE_COUNTER_PERIOD`,,"Interval to restart the task, which calculates gas usage at the address. [Time format](env-variables.md#time-format).",30m,v4.1.3+,
`CACHE_TOKEN_HOLDERS_COUNTER_PERIOD`,,"Interval to restart the task, which calculates holders count of the token. [Time format](env-variables.md#time-format).",1h,v4.1.3+,
`CACHE_TOKEN_TRANSFERS_COUNTER_PERIOD`,,"Interval to restart the task, which calculates transfers count of the token. [Time format](env-variables.md#time-format).",1h,v4.1.3+,
`CACHE_ADDRESS_WITH_BALANCES_UPDATE_INTERVAL`,,"Interval to restart the task, which calculates addresses with balances. [Time format](env-variables.md#time-format).",30m,v4.1.3+,✅
`TOKEN_METADATA_UPDATE_INTERVAL`,,Interval to restart the task which updates token metadata. [Time format](env-variables.md#time-format).,48h,v2.0.1+,
`CACHE_AVERAGE_BLOCK_PERIOD`,,Update of average block period cache. [Time format](env-variables.md#time-format).,30m,v4.1.3+,
`CACHE_MARKET_HISTORY_PERIOD`,,Update of market history cache. [Time format](env-variables.md#time-format).,6h,v4.1.3+,
`CACHE_ADDRESS_TRANSACTIONS_COUNTER_PERIOD`,,Time to live of address' transactions counter. [Time format](env-variables.md#time-format). Introduced in [#3330](https://github.com/poanetwork/blockscout/pull/3330).,1h,v3.4.0+,
`CACHE_ADDRESS_TOKENS_USD_SUM_PERIOD`,,Managing of cache invalidation period for the sum of USD value of tokens per tokens' holder address. [Time format](env-variables.md#time-format).,1h,v3.5.0+,
`CACHE_EXCHANGE_RATES_PERIOD`,,value which is to tune the time to live of exchange rates. [Time format](env-variables.md#time-format). Implemented in [#5671](https://github.com/blockscout/blockscout/pull/5671).,10m,v4.1.5+,✅
`TOKEN_BALANCE_ON_DEMAND_FETCHER_THRESHOLD`,,A threshold to invalidate token balance cache. [Time format](env-variables.md#time-format).,1h,v5.1.2+,
`COIN_BALANCE_ON_DEMAND_FETCHER_THRESHOLD`,,A threshold to invalidate coin balance cache. [Time format](env-variables.md#time-format).,1h,v5.1.2+,
`CACHE_ADDRESS_TOKEN_TRANSFERS_COUNTER_PERIOD`,,"Interval to restart the task, which calculates the number of token transfers at the address. [Time format](env-variables.md#time-format). Implemented in [#4699](https://github.com/poanetwork/blockscout/pull/4699).",1h,v4.0.0+,
`CACHE_BLOCK_COUNT_PERIOD`,,time to live of blocks with consensus count cache. . [Time format](env-variables.md#time-format). Introduced in [#1876](https://github.com/poanetwork/blockscout/pull/1876).,2h,v4.1.3+,
`CACHE_TOTAL_GAS_USAGE_COUNTER_ENABLED`,,"if `true`, enables cache for total gas usage counter.",`false`,v5.1.3+,✅
### Gas price oracle management,,,,,
Variable,Required,Description,Default,Version,
-------------------------------------,--------,----------------------------------------------------------------------,-------,-------,
`GAS_PRICE_ORACLE_NUM_OF_BLOCKS`,,Gas price oracle: number of blocks to calculate average gas price from,200,v4.1.4+,
`GAS_PRICE_ORACLE_SAFELOW_PERCENTILE`,,Gas price oracle: safelow percentile,35,v4.1.4+,
`GAS_PRICE_ORACLE_AVERAGE_PERCENTILE`,,Gas price oracle: average percentile,60,v4.1.4+,
`GAS_PRICE_ORACLE_FAST_PERCENTILE`,,Gas price oracle: fast percentile,90,v4.1.4+,
`GAS_PRICE_ORACLE_CACHE_PERIOD`,,Gas price oracle: period of gas prices update. [Time format](env-variables.md#time-format).,30s,v4.1.4+,
### Main page dashboard management,,,,,
Variable,Required,Description,Default,Version,
-----------------------------------,--------,---------------------------------------------------------------------------------------------------------------------------------------,-------,-------,
`GAS_PRICE`,,"Gas price in Gwei. If the variable is present, gas price displays on the main page.",(empty),v3.3.2+,
`TXS_STATS_ENABLED`,,Disables or enables txs per day stats gathering.,true,v5.1.3+,
`SHOW_PRICE_CHART`,,Disables or enables price and market cap of coin charts on the main page.,false,v3.1.2+,
`SHOW_PRICE_CHART_LEGEND`,,Allows to show price and market cap values under the chart even if price chart is not enabled via `SHOW_PRICE_CHART` env variable.,false,v5.1.4+,
`SHOW_TXS_CHART`,,Disables or enables txs count per day chart on the main page.,true,v3.1.2+,
`TXS_HISTORIAN_INIT_LAG`,,The initial delay in txs count history fetching in order to display txs count per day history chart on the main page. [Time format](env-variables.md#time-format).,0,v3.1.2+,
`TXS_STATS_DAYS_TO_COMPILE_AT_INIT`,,Number of days for fetching of history of txs count per day in order to display it in txs count per day history chart on the main page.,40,v3.1.2+,
### Header management,,,,,
Variable,Required,Description,Default,Version,
--------------------,--------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,-------,
`LOGO`,,Environment variable for the header logo image location. The logo files names for different chains can be found [here](https://github.com/poanetwork/blockscout/tree/master/apps/block\_scout\_web/assets/static/images).,/images/blockscout\_logo.svg,all,
